Date,State/Territory,Barrels (Thousands)
6/1/2008,Alabama,21
6/1/2008,Alaska,655
6/1/2008,Arizona,0
6/1/2008,Arkansas,17
6/1/2008,California,583
6/1/2008,Colorado,82
6/1/2008,Federal Offshore Gulf of Mexico Crude Oil,1326
6/1/2008,Federal Offshore Pacific Crude Oil,67
6/1/2008,Florida,5
6/1/2008,Idaho,0
6/1/2008,Illinois,26
6/1/2008,Indiana,5
6/1/2008,Kansas,107
6/1/2008,Kentucky,5
6/1/2008,Louisiana,215
6/1/2008,Michigan,17
6/1/2008,Mississippi,65
6/1/2008,Missouri,0
6/1/2008,Montana,86
6/1/2008,Nebraska,6
6/1/2008,Nevada,1
6/1/2008,New Mexico,161
6/1/2008,New York,1
6/1/2008,North Dakota,165
6/1/2008,Ohio,14
6/1/2008,Oklahoma,186
6/1/2008,Pennsylvania,8
6/1/2008,South Dakota,5
6/1/2008,Tennessee,1
6/1/2008,Texas,1097
6/1/2008,U.S. Crude Oil ,5138
6/1/2008,Utah,60
6/1/2008,Virginia,0
6/1/2008,West Virginia,6
6/1/2008,Wyoming,144
7/1/2008,Alabama,21
7/1/2008,Alaska,640
7/1/2008,Arizona,0
7/1/2008,Arkansas,17
7/1/2008,California,586
7/1/2008,Colorado,81
7/1/2008,Federal Offshore Gulf of Mexico Crude Oil,1372
7/1/2008,Federal Offshore Pacific Crude Oil,61
7/1/2008,Florida,6
7/1/2008,Idaho,0
7/1/2008,Illinois,27
7/1/2008,Indiana,5
7/1/2008,Kansas,103
7/1/2008,Kentucky,7
7/1/2008,Louisiana,214
7/1/2008,Michigan,17
7/1/2008,Mississippi,60
7/1/2008,Missouri,0
7/1/2008,Montana,84
7/1/2008,Nebraska,6
7/1/2008,Nevada,1
7/1/2008,New Mexico,163
7/1/2008,New York,1
7/1/2008,North Dakota,172
7/1/2008,Ohio,14
7/1/2008,Oklahoma,184
7/1/2008,Pennsylvania,8
7/1/2008,South Dakota,5
7/1/2008,Tennessee,1
7/1/2008,Texas,1111
7/1/2008,U.S. Crude Oil ,5177
7/1/2008,Utah,61
7/1/2008,Virginia,0
7/1/2008,West Virginia,5
7/1/2008,Wyoming,145
8/1/2008,Alabama,21
8/1/2008,Alaska,544
8/1/2008,Arizona,0
8/1/2008,Arkansas,17
8/1/2008,California,588
8/1/2008,Colorado,82
8/1/2008,Federal Offshore Gulf of Mexico Crude Oil,1272
8/1/2008,Federal Offshore Pacific Crude Oil,70
8/1/2008,Florida,5
8/1/2008,Idaho,0
8/1/2008,Illinois,26
8/1/2008,Indiana,5
8/1/2008,Kansas,110
8/1/2008,Kentucky,10
8/1/2008,Louisiana,203
8/1/2008,Michigan,17
8/1/2008,Mississippi,59
8/1/2008,Missouri,0
8/1/2008,Montana,84
8/1/2008,Nebraska,7
8/1/2008,Nevada,1
8/1/2008,New Mexico,163
8/1/2008,New York,1
8/1/2008,North Dakota,178
8/1/2008,Ohio,14
8/1/2008,Oklahoma,188
8/1/2008,Pennsylvania,8
8/1/2008,South Dakota,5
8/1/2008,Tennessee,1
8/1/2008,Texas,1110
8/1/2008,U.S. Crude Oil ,5003
8/1/2008,Utah,62
8/1/2008,Virginia,0
8/1/2008,West Virginia,6
8/1/2008,Wyoming,145
9/1/2008,Alabama,21
9/1/2008,Alaska,681
9/1/2008,Arizona,0
9/1/2008,Arkansas,16
9/1/2008,California,587
9/1/2008,Colorado,88
9/1/2008,Federal Offshore Gulf of Mexico Crude Oil,242
9/1/2008,Federal Offshore Pacific Crude Oil,67
9/1/2008,Florida,5
9/1/2008,Idaho,0
9/1/2008,Illinois,27
9/1/2008,Indiana,6
9/1/2008,Kansas,116
9/1/2008,Kentucky,4
9/1/2008,Louisiana,113
9/1/2008,Michigan,17
9/1/2008,Mississippi,60
9/1/2008,Missouri,0
9/1/2008,Montana,86
9/1/2008,Nebraska,7
9/1/2008,Nevada,1
9/1/2008,New Mexico,157
9/1/2008,New York,1
9/1/2008,North Dakota,189
9/1/2008,Ohio,14
9/1/2008,Oklahoma,186
9/1/2008,Pennsylvania,8
9/1/2008,South Dakota,5
9/1/2008,Tennessee,1
9/1/2008,Texas,1055
9/1/2008,U.S. Crude Oil ,3974
9/1/2008,Utah,63
9/1/2008,Virginia,0
9/1/2008,West Virginia,6
9/1/2008,Wyoming,144
10/1/2008,Alabama,21
10/1/2008,Alaska,716
10/1/2008,Arizona,0
10/1/2008,Arkansas,17
10/1/2008,California,586
10/1/2008,Colorado,86
10/1/2008,Federal Offshore Gulf of Mexico Crude Oil,803
10/1/2008,Federal Offshore Pacific Crude Oil,66
10/1/2008,Florida,6
10/1/2008,Idaho,0
10/1/2008,Illinois,26
10/1/2008,Indiana,6
10/1/2008,Kansas,111
